              Y               X               Z             Vxx             Vxy             Vxz             Vyy             Vyz             Vzz
         12.384           7.923          -0.100        -0.21479         0.23470        -0.00869         0.58545        -0.04706        -0.37066
         -5.692          -5.264          -0.100        -1.49832        15.69112       -16.14785        16.66810       -30.66721       -15.16978
         -6.062         -12.690          -0.100         0.68889         0.27649         0.04497        -0.15637         0.01360        -0.53252
         13.923          -9.801          -0.100        -0.17489        -0.24631         0.00841         0.46983        -0.02743        -0.29494
         11.331         -12.848          -0.100         0.13673        -0.53088         0.02854         0.23946        -0.03020        -0.37618
         -5.066         -10.700          -0.100         1.30343         0.13605         0.12804        -0.17995         0.01295        -1.12348
          1.408          11.704          -0.100         0.91973        -0.03008        -0.09577        -0.15128         0.01378        -0.76845
         -5.841           5.231          -0.100         4.76421         7.82812        -4.38231         8.76977        -4.83703       -13.53398
          1.515           6.344          -0.100         0.45264         3.60877         0.49083         5.07953         1.43834        -5.53217
          9.059          -4.469          -0.100         0.43217         1.10994        -0.14789         1.00435        -0.17625        -1.43652
          5.213          -0.102          -0.100         1.14172        -0.73510         0.14100         0.92744        -0.25268        -2.06916
          0.861          -0.351          -0.100         5.23571        -6.65347         6.19421         9.87894        -9.29816       -15.11465
        -12.026          -3.249          -0.100         0.07582         0.80922         0.07941         1.05745         0.13864        -1.13327
        -13.859         -10.091          -0.100         0.06142         0.33263         0.01363         0.21829         0.01632        -0.27971
          3.161           1.614          -0.100        12.20240         8.98433        23.64675        -5.39536         5.50139        -6.80704
          0.909          -9.910          -0.100         3.84748         2.84411         0.96375         0.26961         0.54740        -4.11709
         14.602           8.846          -0.100        -0.08374         0.16160        -0.00486         0.26986        -0.01510        -0.18612
         -0.157          -4.517          -0.100        11.24955        -1.28656       -43.16337         2.19204       -10.05681       -13.44158
         -4.174          -3.067          -0.100        18.79739        -2.03499        -2.08455        -3.68512         3.85861       -15.11226
          0.286           5.914          -0.100         1.84062         2.64503        -0.62729         2.64064        -0.13549        -4.48126
          0.657          -5.849          -0.100       -18.85178       -10.56745        -0.35950        -5.40613         1.54930        24.25791
        -11.602          11.291          -0.100         0.40438        -0.62849        -0.04706         0.08005         0.03614        -0.48444
         13.666          11.749          -0.100         0.00079         0.21696        -0.00790         0.16750        -0.01200        -0.16828
          8.936          11.736          -0.100         0.51163         0.63102        -0.07301         0.00029        -0.04201        -0.51191
