              Y               X               Z             Vxx             Vxy             Vxz             Vyy             Vyz             Vzz
          1.137           0.991           0.000        -7.79633        21.39782       -23.74702        -1.90631       -27.23920         9.70264
         -0.380          -1.715           0.000        14.29442         7.67748        27.31131       -18.68176         6.04690         4.38734
         -2.684           1.176           0.000        -4.37237        -6.12855        -3.42086         6.92620         7.80587        -2.55382
          3.770          -2.895           0.000         0.03380        -2.68959         1.05771         1.47069        -1.37734        -1.50448
         -2.100           3.051           0.000         2.96078        -4.75693        -3.39403        -0.67594         2.33616        -2.28483
         -2.366          -2.833           0.000         2.06267         5.05246         3.20056         0.23215         2.67287        -2.29482
         -2.085           2.951           0.000         2.97464        -5.07671        -3.65090        -0.62348         2.57958        -2.35116
         -0.867           3.618           0.000         5.63246        -2.28591        -3.95111        -3.35943         0.94677        -2.27302
         -0.176           3.734           0.000         6.09673        -0.46998        -3.99484        -3.83714         0.18858        -2.25959
          0.323          -2.581           0.000        11.10986        -2.55461        11.73444        -8.96038        -1.47016        -2.14949
         -3.025           2.968           0.000         0.86468        -3.70744        -1.82722         1.00536         1.86221        -1.87004
         -0.385          -2.406           0.000        11.81303         3.60582        13.79473       -10.13553         2.20819        -1.67751
          2.334          -0.126           0.000       -11.63150        -1.32542         0.83112        12.89957       -15.42740        -1.26807
          2.790           1.862           0.000        -1.17641         5.85002        -3.14718         3.68737        -4.71659        -2.51096
         -3.149          -3.701           0.000         1.14065         2.59804         1.22212         0.29730         1.03975        -1.43794
          0.010          -0.622           0.000       -14.35976        -1.15815       131.26855       -86.02171        -2.18434       100.38147
         -2.522           3.281           0.000         1.98456        -3.79605        -2.24668        -0.03762         1.72660        -1.94694
          0.529          -0.097           0.000       -92.09486        -6.34457        22.87750       -58.49508      -124.42883       150.58994
         -2.174          -1.960           0.000         0.41590         8.30529         5.72249         2.13667         6.34593        -2.55257
         -1.527          -2.793           0.000         5.10482         5.94987         5.85018        -2.53018         3.19727        -2.57464
         -2.616           0.214           0.000        -8.95337        -1.65942        -0.94284        11.15411        11.50185        -2.20074
         -0.691          -1.247           0.000         6.11236        19.42236        34.42274       -18.17673        19.07415        12.06437
          0.719           0.682           0.000       -17.82436        32.98711       -44.04682       -14.26849       -46.48465        32.09286
         -3.200           2.372           0.000        -0.21675        -4.11812        -1.92387         2.28544         2.59517        -2.06869
         -1.119          -2.645           0.000         7.29293         6.21512         8.31522        -4.77260         3.51702        -2.52032
         -1.895          -3.285           0.000         3.52448         4.17753         3.30082        -1.30671         1.90427        -2.21777
          1.402          -2.590           0.000         5.79380        -6.90969         7.38525        -3.23343        -3.99704        -2.56037
          0.695           2.009           0.000        11.15025         8.77952       -18.12768       -11.18587        -6.27228         0.03562
         -0.413           0.019           0.000       -98.64409        -0.43922        -3.94848       -88.75930        86.98282       187.40339
          3.166           3.891           0.000         1.16450         2.37297        -1.10825         0.17917        -0.90179        -1.34368
          1.860          -2.510           0.000         3.42971        -7.02571         5.66806        -0.84525        -4.20014        -2.58446
         -3.249           1.623           0.000        -2.02754        -4.25649        -1.96398         4.36510         3.93087        -2.33756
         -3.165           3.457           0.000         1.02867        -2.87545        -1.34825         0.51984         1.23422        -1.54851
         -3.920           3.393           0.000         0.30621        -2.20164        -0.82926         0.94439         0.95811        -1.25060
          0.221          -0.331           0.000       -93.16553        -3.89631        68.60138       -96.39129       -45.81749       189.55682
          1.125           3.025           0.000         6.48267         4.49162        -5.99227        -3.91983        -2.22926        -2.56284
          0.411           1.671           0.000        14.00755         8.64931       -28.19979       -19.02777        -6.93655         5.02022
          0.408           1.124           0.000        10.52920        17.54323       -47.28204       -31.41147       -17.16961        20.88227
          0.582           0.636           0.000       -17.46965        37.93662       -57.30725       -24.25674       -52.41138        41.72639
         -0.509           0.565           0.000       -22.54576       -41.97166       -70.88447       -31.33244        63.85717        53.87820
          1.235           0.797           0.000       -14.52648        20.21956       -20.38005         3.77095       -31.59041        10.75552
         -1.434          -0.237           0.000       -26.88533         7.23457         6.24452        15.64306        37.74140        11.24227
          1.229           1.112           0.000        -5.04268        19.36502       -20.78117        -1.17121       -22.96203         6.21389
          1.299           3.387           0.000         5.14065         3.56913        -4.12052        -2.79968        -1.57987        -2.34097
         -1.305          -3.530           0.000         4.85151         3.19525         3.66795        -2.61122         1.35587        -2.24029
         -3.419          -2.132           0.000        -0.82761         3.75937         1.64260         2.85969         2.63505        -2.03208
          3.034           0.581           0.000        -5.68962         2.77639        -1.37312         8.27626        -7.17006        -2.58664
         -0.954           1.724           0.000         7.63400       -13.34363       -19.66464        -9.10570        10.87828         1.47170
          1.689          -2.214           0.000         3.64654        -8.84663         7.82595        -1.20285        -5.96962        -2.44369
         -3.035          -1.763           0.000        -1.63624         4.99035         2.46712         4.05786         4.24790        -2.42162
         -2.209           2.298           0.000         1.56538        -7.04767        -4.79015         1.00844         4.60462        -2.57382
         -3.667          -3.145           0.000         0.32112         2.64093         1.06715         1.13454         1.24407        -1.45566
         -2.632          -1.866           0.000        -0.99268         6.48814         3.70068         3.55572         5.21858        -2.56304
         -0.494          -2.592           0.000        10.50383         3.71610        11.18266        -8.27628         2.13230        -2.22755
         -0.296          -2.666           0.000        10.72758         2.15003        10.83397        -8.42261         1.20139        -2.30497
          3.050           0.034           0.000        -6.40894         0.17232        -0.08474         8.99442        -7.57507        -2.58548
         -1.168           2.082           0.000         6.96756       -10.18616       -12.81264        -5.48117         7.18608        -1.48639
         -0.270           0.357           0.000       -88.77730        -6.76210       -77.99808       -92.56163        58.86484       181.33893
          3.323          -2.926           0.000         0.44272        -3.30201         1.47829         1.28558        -1.67895        -1.72831
         -0.918          -1.703           0.000         7.92716        13.48040        20.52177        -9.80533        11.06521         1.87816
         -0.527           0.572           0.000       -22.22239       -41.49200       -67.48268       -29.02382        62.18209        51.24621
          1.207          -2.454           0.000         6.97382        -7.50895         9.27739        -4.58999        -4.56541        -2.38383
         -0.447           2.000           0.000        13.18076        -6.36634       -20.23630       -13.86326         4.52551         0.68250
          1.728          -3.254           0.000         4.03634        -4.26920         3.70259        -1.73709        -1.96599        -2.29925
          3.890           0.315           0.000        -3.38998         0.72550        -0.27898         5.52168        -3.44943        -2.13170
         -2.374          -3.748           0.000         2.27616         2.99447         1.87630        -0.55437         1.18852        -1.72179
          0.332           0.996           0.000        10.66102        18.68596       -56.37727       -39.12891       -18.80445        28.46788
          3.503           1.304           0.000        -2.64545         3.26161        -1.39484         4.90501        -3.74807        -2.25957
         -0.984          -0.840           0.000       -12.30605        24.97679        29.38972        -4.39434        34.41083        16.70039
          2.104          -0.350           0.000       -13.35692        -4.57442         3.12200        13.38277       -18.76889        -0.02585
         -3.149           0.661           0.000        -5.04716        -2.78143        -1.32592         7.61284         6.31355        -2.56568
         -1.767           2.977           0.000         4.06000        -5.19822        -4.41397        -1.60837         2.62081        -2.45163
          2.060           0.054           0.000       -15.10259         0.78051        -0.53946        14.52311       -20.49051         0.57948
          3.268           0.061           0.000        -5.41349         0.24988        -0.11479         7.96215        -6.14672        -2.54866
         -1.801           3.531           0.000         3.59756        -3.52524        -2.92600        -1.51353         1.49282        -2.08403
          2.547          -1.670           0.000        -1.79019        -7.08802         4.17407         4.37522        -6.36713        -2.58502
          1.270          -2.544           0.000         6.55450        -7.04760         8.30332        -4.05487        -4.14273        -2.49963
         -2.436           0.786           0.000        -7.60937        -6.21680        -3.78325         9.66243        11.73091        -2.05306
          1.177          -2.191           0.000         7.08946        -9.31196        11.68830        -5.24098        -6.27935        -1.84847
         -3.906           1.722           0.000        -1.53451        -2.69022        -1.02659         3.38142         2.32852        -1.84692
         -2.337           2.758           0.000         2.05804        -5.30594        -3.40404         0.29160         2.88425        -2.34964
         -3.277           0.283           0.000        -5.23594        -1.13146        -0.51831         7.77641         6.00558        -2.54048
          1.212           2.819           0.000         6.52990         5.52722        -6.83880        -3.94340        -2.94145        -2.58650
         -2.659          -1.899           0.000        -0.89982         6.33640         3.57787         3.44905         5.01048        -2.54923
          2.519          -1.554           0.000        -2.38651        -7.30400         4.34471         4.95252        -7.04497        -2.56601
         -3.657          -0.701           0.000        -3.54078         1.86087         0.76240         5.81109         3.97759        -2.27031
          3.158          -2.018           0.000        -0.95858        -4.49994         2.13443         3.21074        -3.34115        -2.25215
          1.708           0.835           0.000       -11.28388        13.01527       -10.58994         8.99992       -21.67743         2.28396
          1.408           0.001           0.000       -29.53096         0.04428        -0.03826        16.89321       -40.10954        12.63775
          0.609           0.529           0.000       -29.41864        40.07800       -56.52963       -18.02489       -65.12804        47.44353
         -0.169           1.157           0.000        15.71830        -7.99402       -51.24112       -37.84479         7.48441        22.12649
         -0.544          -2.834           0.000         9.23779         3.17611         8.74523        -6.70824         1.67775        -2.52954
          1.882          -1.552           0.000        -1.35371       -11.31853         8.86204         3.04133       -10.74811        -1.68762
          2.005           0.231           0.000       -15.34430         3.46441        -2.44574        14.36905       -21.25784         0.97525
         -1.868          -2.982           0.000         3.70121         5.14084         4.12935        -1.28534         2.58667        -2.41587
         -3.052          -3.814           0.000         1.28021         2.53297         1.22885         0.14174         0.98334        -1.42195
         -1.596          -2.901           0.000         4.75217         5.50314         5.17622        -2.22072         2.84825        -2.53145
