# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.55593 -15.57966 2259.86441 27118.37288 -441.56149 291.56149 -157.34076
-51.54831 -15.57966 2259.86441 27965.82203 -442.67734 292.67734 -114.14079
-51.54068 -15.57966 2259.86441 28813.27119 -443.67937 293.67937 -44.64038
-51.53305 -15.57966 2259.86441 29660.72034 -444.59298 294.59298 -32.60049
-51.52542 -15.57966 2259.86441 30508.16949 -445.44114 295.44114 -18.01840
-51.51780 -15.57966 2259.86441 31355.61864 -446.24661 296.24661 38.78544
-51.51017 -15.57966 2259.86441 32203.06780 -447.03938 297.03938 100.65415
-51.50254 -15.57966 2259.86441 33050.51695 -447.94396 297.94396 123.70361
-51.49492 -15.57966 2259.86441 33897.96610 -448.64790 298.64790 148.35616
-51.48729 -15.57966 2259.86441 34745.41525 -449.35705 299.35705 95.39402
-51.47966 -15.57966 2259.86441 35592.86441 -450.07984 300.07984 39.21409
-51.47203 -15.57966 2259.86441 36440.31356 -450.76635 300.76635 45.50417
-51.46441 -15.57966 2259.86441 37287.76271 -451.40301 301.40301 83.57731
-51.45678 -15.57966 2259.86441 38135.21186 -451.97885 301.97885 33.67389
-51.44915 -15.57966 2259.86441 38982.66102 -452.48179 302.48179 -4.43858
-51.44153 -15.57966 2259.86441 39830.11017 -452.89772 302.89772 -27.89421
-51.43390 -15.57966 2259.86441 40677.55932 -453.21144 303.21144 -66.29932
-51.42627 -15.57966 2259.86441 41525.00847 -453.41911 303.41911 -193.56613
-51.41864 -15.57966 2259.86441 42372.45763 -453.70434 303.70434 -414.84924
-51.41102 -15.57966 2259.86441 43219.90678 -453.21537 303.21537 -416.31152
-51.40339 -15.57966 2259.86441 44067.35593 -452.64640 302.64640 -414.17092
-51.39576 -15.57966 2259.86441 44914.80508 -452.02929 302.02929 -331.09526
-51.38814 -15.57966 2259.86441 45762.25424 -451.31368 301.31368 -257.69586
-51.38051 -15.57966 2259.86441 46609.70339 -450.50179 300.50179 -226.29410
-51.37288 -15.57966 2259.86441 47457.15254 -449.59838 299.59838 -169.73372
-51.36525 -15.57966 2259.86441 48304.60169 -448.60609 298.60609 -121.64584
-51.35763 -15.57966 2259.86441 49152.05085 -447.52517 297.52517 -109.69499
-51.35000 -15.57966 2259.86441 49999.50000 -446.35536 296.35536 -96.68725
-51.80000 -15.57458 2824.83051 0.00000 -434.86399 284.86399 -173.84408
-51.79237 -15.57458 2824.83051 847.44915 -433.75263 283.75263 -162.48343
-51.78475 -15.57458 2824.83051 1694.89831 -432.54304 282.54304 -159.72210
-51.77712 -15.57458 2824.83051 2542.34746 -431.25330 281.25330 -152.03348
-51.76949 -15.57458 2824.83051 3389.79661 -429.91505 279.91505 -145.91098
-51.76186 -15.57458 2824.83051 4237.24576 -428.61952 278.61952 -145.30933
-51.75424 -15.57458 2824.83051 5084.69492 -427.61659 277.61659 -152.61567
-51.74661 -15.57458 2824.83051 5932.14407 -428.01699 278.01699 -169.09127
-51.73898 -15.57458 2824.83051 6779.59322 -429.91039 279.91039 -185.89610
-51.73136 -15.57458 2824.83051 7627.04237 -432.10735 282.10735 -217.70251
