# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.38814 -15.44237 6214.62712 17796.43220 -439.70692 289.70692 -273.00980
-51.38051 -15.44237 6214.62712 18643.88136 -439.52663 289.52663 -180.07091
-51.37288 -15.44237 6214.62712 19491.33051 -439.34635 289.34635 -134.26294
-51.36525 -15.44237 6214.62712 20338.77966 -439.16606 289.16606 -182.97507
-51.35763 -15.44237 6214.62712 21186.22881 -438.98577 288.98577 -163.78855
-51.35000 -15.44237 6214.62712 22033.67797 -438.80549 288.80549 -206.75977
-51.54831 -15.43729 6779.59322 0.00000 -444.06690 294.06690 -52.40711
-51.54068 -15.43729 6779.59322 847.44915 -443.39282 293.39282 -66.94894
-51.53305 -15.43729 6779.59322 1694.89831 -442.71874 292.71874 -123.12943
-51.52542 -15.43729 6779.59322 2542.34746 -442.04466 292.04466 -172.75715
-51.51780 -15.43729 6779.59322 3389.79661 -441.37058 291.37058 -216.94252
-51.51017 -15.43729 6779.59322 4237.24576 -440.71708 290.71708 -274.42930
-51.50254 -15.43729 6779.59322 5084.69492 -440.23745 290.23745 -376.57373
-51.49492 -15.43729 6779.59322 5932.14407 -439.93702 289.93702 -570.98789
-51.48729 -15.43729 6779.59322 6779.59322 -439.82334 289.82334 -945.62546
-51.47966 -15.43729 6779.59322 7627.04237 -439.83730 289.83730 -1228.66305
-51.47203 -15.43729 6779.59322 8474.49153 -439.85215 289.85215 -1600.60068
-51.46441 -15.43729 6779.59322 9321.94068 -439.86699 289.86699 -2133.28137
-51.45678 -15.43729 6779.59322 10169.38983 -439.88183 289.88183 -2502.20064
-51.44915 -15.43729 6779.59322 11016.83898 -439.89667 289.89667 -2339.26056
-51.44153 -15.43729 6779.59322 11864.28814 -439.91152 289.91152 -1932.09388
-51.43390 -15.43729 6779.59322 12711.73729 -439.92636 289.92636 -1270.36678
