# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.51017 -15.57458 2824.83051 32203.06780 -447.22457 297.22457 117.61631
-51.50254 -15.57458 2824.83051 33050.51695 -448.05467 298.05467 98.68219
-51.80000 -15.56949 3389.79661 0.00000 -434.12870 284.12870 -174.08231
-51.79237 -15.56949 3389.79661 847.44915 -433.01502 283.01502 -167.87546
-51.78475 -15.56949 3389.79661 1694.89831 -431.85326 281.85326 -162.04220
-51.77712 -15.56949 3389.79661 2542.34746 -430.66300 280.66300 -156.39524
-51.76949 -15.56949 3389.79661 3389.79661 -429.50305 279.50305 -148.78475
-51.76186 -15.56949 3389.79661 4237.24576 -428.36483 278.36483 -144.07231
-51.75424 -15.56949 3389.79661 5084.69492 -427.62850 277.62850 -148.64185
-51.74661 -15.56949 3389.79661 5932.14407 -428.00598 278.00598 -166.72779
-51.73898 -15.56949 3389.79661 6779.59322 -429.50078 279.50078 -188.90079
-51.73136 -15.56949 3389.79661 7627.04237 -431.51298 281.51298 -222.07819
-51.72373 -15.56949 3389.79661 8474.49153 -433.53137 283.53137 -247.99944
-51.71610 -15.56949 3389.79661 9321.94068 -435.55413 285.55413 -264.90190
-51.70847 -15.56949 3389.79661 10169.38983 -437.56137 287.56137 -289.74993
-51.70085 -15.56949 3389.79661 11016.83898 -439.56267 289.56267 -326.05480
-51.69322 -15.56949 3389.79661 11864.28814 -441.57204 291.57204 -404.28716
-51.68559 -15.56949 3389.79661 12711.73729 -443.58618 293.58618 -496.23418
-51.67797 -15.56949 3389.79661 13559.18644 -445.59838 295.59838 -552.32456
-51.67034 -15.56949 3389.79661 14406.63559 -447.19600 297.19600 -553.78177
-51.66271 -15.56949 3389.79661 15254.08475 -447.83004 297.83004 -607.50667
-51.65508 -15.56949 3389.79661 16101.53390 -447.50270 297.50270 -630.58025
-51.64746 -15.56949 3389.79661 16948.98305 -446.80146 296.80146 -580.23645
-51.63983 -15.56949 3389.79661 17796.43220 -446.10105 296.10105 -482.50674
-51.63220 -15.56949 3389.79661 18643.88136 -445.41309 295.41309 -360.87775
-51.62458 -15.56949 3389.79661 19491.33051 -444.73017 294.73017 -235.35803
-51.61695 -15.56949 3389.79661 20338.77966 -444.03080 294.03080 -163.32825
-51.60932 -15.56949 3389.79661 21186.22881 -443.30584 293.30584 -142.94496
-51.60169 -15.56949 3389.79661 22033.67797 -442.59399 292.59399 -119.94129
-51.59407 -15.56949 3389.79661 22881.12712 -441.89275 291.89275 -54.75519
-51.58644 -15.56949 3389.79661 23728.57627 -441.43667 291.43667 53.45386
-51.57881 -15.56949 3389.79661 24576.02542 -441.47478 291.47478 87.33706
-51.57119 -15.56949 3389.79661 25423.47458 -442.00500 292.00500 -58.65060
-51.56356 -15.56949 3389.79661 26270.92373 -442.69902 292.69902 -126.68346
-51.55593 -15.56949 3389.79661 27118.37288 -443.41582 293.41582 -128.41115
-51.54831 -15.56949 3389.79661 27965.82203 -444.15104 294.15104 -102.98118
-51.54068 -15.56949 3389.79661 28813.27119 -444.85317 294.85317 -74.20233
-51.53305 -15.56949 3389.79661 29660.72034 -445.52078 295.52078 -64.26406
-51.52542 -15.56949 3389.79661 30508.16949 -446.17690 296.17690 -95.53142
-51.51780 -15.56949 3389.79661 31355.61864 -446.86312 296.86312 -82.33829
-51.51017 -15.56949 3389.79661 32203.06780 -447.55712 297.55712 -24.27448
-51.50254 -15.56949 3389.79661 33050.51695 -448.18898 298.18898 43.49873
-51.80000 -15.56441 3954.76271 0.00000 -433.77869 283.77869 -169.30086
-51.79237 -15.56441 3954.76271 847.44915 -432.64543 282.64543 -170.07730
-51.78475 -15.56441 3954.76271 1694.89831 -431.51216 281.51216 -163.88341
-51.77712 -15.56441 3954.76271 2542.34746 -430.37889 280.37889 -161.33551
-51.76949 -15.56441 3954.76271 3389.79661 -429.24562 279.24562 -152.24665
-51.76186 -15.56441 3954.76271 4237.24576 -428.11876 278.11876 -143.45606
-51.75424 -15.56441 3954.76271 5084.69492 -427.59684 277.59684 -145.59038
-51.74661 -15.56441 3954.76271 5932.14407 -427.93394 277.93394 -163.60529
-51.73898 -15.56441 3954.76271 6779.59322 -429.11749 279.11749 -190.59699
-51.73136 -15.56441 3954.76271 7627.04237 -430.98925 280.98925 -223.50574
-51.72373 -15.56441 3954.76271 8474.49153 -432.88733 282.88733 -258.43711
-51.71610 -15.56441 3954.76271 9321.94068 -434.78541 284.78541 -290.51838
-51.70847 -15.56441 3954.76271 10169.38983 -436.68350 286.68350 -316.27696
-51.70085 -15.56441 3954.76271 11016.83898 -438.58158 288.58158 -380.41368
-51.69322 -15.56441 3954.76271 11864.28814 -440.47966 290.47966 -491.80254
-51.68559 -15.56441 3954.76271 12711.73729 -442.37774 292.37774 -648.83032
-51.67797 -15.56441 3954.76271 13559.18644 -444.26171 294.26171 -791.20786
-51.67034 -15.56441 3954.76271 14406.63559 -445.64669 295.64669 -878.69707
-51.66271 -15.56441 3954.76271 15254.08475 -446.39348 296.39348 -1046.05077
-51.65508 -15.56441 3954.76271 16101.53390 -446.49884 296.49884 -1115.47878
-51.64746 -15.56441 3954.76271 16948.98305 -446.13107 296.13107 -1043.73130
-51.63983 -15.56441 3954.76271 17796.43220 -445.75514 295.75514 -861.13431
-51.63220 -15.56441 3954.76271 18643.88136 -445.37921 295.37921 -628.53827
-51.62458 -15.56441 3954.76271 19491.33051 -445.00327 295.00327 -423.40756
-51.61695 -15.56441 3954.76271 20338.77966 -444.62734 294.62734 -292.11495
-51.60932 -15.56441 3954.76271 21186.22881 -444.25141 294.25141 -214.23206
-51.60169 -15.56441 3954.76271 22033.67797 -443.87548 293.87548 -158.33078
-51.59407 -15.56441 3954.76271 22881.12712 -443.50971 293.50971 -93.57214
-51.58644 -15.56441 3954.76271 23728.57627 -443.35197 293.35197 -2.54168
-51.57881 -15.56441 3954.76271 24576.02542 -443.44163 293.44163 94.06474
-51.57119 -15.56441 3954.76271 25423.47458 -443.78480 293.78480 -41.95896
-51.56356 -15.56441 3954.76271 26270.92373 -444.29715 294.29715 -115.69250
-51.55593 -15.56441 3954.76271 27118.37288 -444.81037 294.81037 -128.58715
-51.54831 -15.56441 3954.76271 27965.82203 -445.32359 295.32359 -112.64582
-51.54068 -15.56441 3954.76271 28813.27119 -445.83681 295.83681 -93.00209
-51.53305 -15.56441 3954.76271 29660.72034 -446.35003 296.35003 -90.10385
-51.52542 -15.56441 3954.76271 30508.16949 -446.86325 296.86325 -93.99163
-51.51780 -15.56441 3954.76271 31355.61864 -447.37647 297.37647 -132.64429
-51.51017 -15.56441 3954.76271 32203.06780 -447.88615 297.88615 -130.19360
-51.50254 -15.56441 3954.76271 33050.51695 -448.35060 298.35060 -23.93389
-51.80000 -15.55932 4519.72881 0.00000 -433.50146 283.50146 -158.45563
-51.79237 -15.55932 4519.72881 847.44915 -432.37314 282.37314 -166.64557
-51.78475 -15.55932 4519.72881 1694.89831 -431.24482 281.24482 -172.83943
-51.77712 -15.55932 4519.72881 2542.34746 -430.11651 280.11651 -177.50121
-51.76949 -15.55932 4519.72881 3389.79661 -428.98819 278.98819 -167.52980
-51.76186 -15.55932 4519.72881 4237.24576 -427.91739 277.91739 -154.85353
-51.75424 -15.55932 4519.72881 5084.69492 -427.50464 277.50464 -154.80486
-51.74661 -15.55932 4519.72881 5932.14407 -427.79505 277.79505 -163.62183
-51.73898 -15.55932 4519.72881 6779.59322 -428.78004 278.78004 -188.65974
-51.73136 -15.55932 4519.72881 7627.04237 -430.46552 280.46552 -223.44008
-51.72373 -15.55932 4519.72881 8474.49153 -432.24948 282.24948 -266.07486
-51.71610 -15.55932 4519.72881 9321.94068 -434.03345 284.03345 -317.16604
-51.70847 -15.55932 4519.72881 10169.38983 -435.81741 285.81741 -377.38347
-51.70085 -15.55932 4519.72881 11016.83898 -437.60138 287.60138 -432.61021
-51.69322 -15.55932 4519.72881 11864.28814 -439.38534 289.38534 -568.48085
-51.68559 -15.55932 4519.72881 12711.73729 -441.16930 291.16930 -692.77741
-51.67797 -15.55932 4519.72881 13559.18644 -442.89984 292.89984 -803.99264
